,lat,lng,time,population,popxtime
0,30.5116,-97.75381000000016,488.0,1370.93896484375,669018.21484375
1,30.5066,-97.7488100000002,492.0,1816.2010498046875,893570.9165039062
2,30.501600000000003,-97.78881000000014,490.0,858.3707275390625,420601.6564941406
3,30.496600000000004,-97.79881000000013,627.0,1526.593017578125,957173.8220214844
4,30.491600000000005,-97.79881000000013,489.0,1526.593017578125,746503.9855957031
5,30.491600000000005,-97.79381000000014,557.0,1526.593017578125,850312.3107910156
6,30.48660000000001,-97.80381000000013,551.0,114.50830078125,63094.07373046875
7,30.48660000000001,-97.78881000000014,543.0,358.8080139160156,194832.75155639648
8,30.47660000000001,-97.80881000000014,500.0,1381.8780517578125,690939.0258789062
9,30.47660000000001,-97.80381000000013,492.0,370.97698974609375,182520.67895507812
10,30.47160000000001,-97.80881000000014,488.0,673.0166015625,328432.1015625
11,30.46660000000001,-97.80881000000014,504.0,673.0166015625,339200.3671875
12,30.44660000000001,-97.7038100000002,496.0,41.05913925170898,20365.333068847653
13,30.44660000000001,-97.66381000000021,643.0,1305.156005859375,839215.3117675781
14,30.441600000000008,-97.75381000000016,566.0,3067.387939453125,1736141.5737304688
15,30.441600000000008,-97.7488100000002,593.0,2269.656982421875,1345906.5905761719
16,30.441600000000008,-97.74381000000021,676.0,2269.656982421875,1534288.1201171875
17,30.441600000000008,-97.66881000000024,531.0,1774.0980224609375,942046.0499267578
18,30.441600000000008,-97.66381000000021,537.0,1305.156005859375,700868.7751464844
19,30.43660000000001,-97.8338100000001,496.0,1873.5350341796875,929273.376953125
20,30.43660000000001,-97.82881000000008,577.0,1860.7459716796875,1073650.4256591797
21,30.43660000000001,-97.81881000000013,538.0,2157.756103515625,1160872.7836914062
22,30.43660000000001,-97.7488100000002,613.0,3467.0,2125271.0
23,30.43660000000001,-97.74381000000021,626.0,3467.0,2170342.0
24,30.43660000000001,-97.73881000000021,523.0,1693.1949462890625,885540.9569091797
25,30.43660000000001,-97.7338100000002,561.0,1693.1949462890625,949882.3648681641
26,30.43660000000001,-97.72881000000021,647.0,1146.9539794921875,742079.2247314453
27,30.43660000000001,-97.66881000000024,523.0,1466.301025390625,766875.4362792969
28,30.43160000000001,-97.84381000000008,507.0,389.497802734375,197475.38598632812
29,30.43160000000001,-97.82881000000008,529.0,1123.0009765625,594067.5166015625
30,30.43160000000001,-97.81881000000013,618.0,908.9295043945312,561718.4337158203
31,30.43160000000001,-97.73881000000021,506.0,766.5645141601561,387881.644165039
32,30.43160000000001,-97.7338100000002,483.0,766.5645141601561,370250.6603393554
33,30.43160000000001,-97.72881000000021,528.0,982.3759155273436,518694.48339843744
34,30.426600000000015,-97.85881000000008,485.0,244.76210021972656,118709.61860656738
35,30.426600000000015,-97.83881000000008,501.0,1643.39697265625,823341.8833007812
36,30.421600000000016,-97.80881000000014,493.0,212.66200256347656,104842.36726379395
37,30.41660000000002,-97.83881000000008,562.0,430.89849853515625,242164.9561767578
38,30.41660000000002,-97.75881000000015,504.0,1875.3330078125,945167.8359375
39,30.41160000000001,-97.71381000000021,531.0,1643.6319580078125,872768.5697021484
40,30.41160000000001,-97.67381000000023,506.0,766.0258178710938,387609.06384277344
41,30.401600000000023,-97.73881000000021,510.0,1467.9150390625,748636.669921875
42,30.401600000000023,-97.7338100000002,495.0,1467.9150390625,726617.9443359375
43,30.401600000000023,-97.72381000000021,531.0,408.6261901855469,216980.5069885254
44,30.396600000000024,-97.80381000000013,775.0,387.3258056640625,300177.49938964844
45,30.396600000000024,-97.79881000000013,863.0,196.1699066162109,169294.62940979
46,30.396600000000024,-97.77381000000015,486.0,929.9752807617188,451967.9864501953
47,30.396600000000024,-97.72381000000021,491.0,303.7911071777344,149161.43362426758
48,30.396600000000024,-97.7188100000002,512.0,303.7911071777344,155541.046875
49,30.396600000000024,-97.67381000000023,609.0,1253.512939453125,763389.3801269531
50,30.391600000000025,-97.80381000000013,682.0,387.3258056640625,264156.1994628906
51,30.391600000000025,-97.79881000000013,797.0,196.1699066162109,156347.4155731201
52,30.391600000000025,-97.7488100000002,521.0,642.7769165039064,334886.7734985352
53,30.391600000000025,-97.74381000000021,548.0,642.7769165039064,352241.7502441407
54,30.391600000000025,-97.7338100000002,504.0,281.49139404296875,141871.66259765625
55,30.391600000000025,-97.7188100000002,507.0,303.7911071777344,154022.09133911133
56,30.386600000000023,-97.8338100000001,659.0,368.4616088867188,242816.20025634769
57,30.386600000000023,-97.82881000000008,647.0,365.5838928222656,236532.77865600586
58,30.381600000000034,-97.83881000000008,650.0,171.78219604492188,111658.42742919922
59,30.381600000000034,-97.78381000000013,571.0,1079.4759521484377,616380.7686767579
60,30.361600000000035,-97.73881000000021,483.0,1391.675048828125,672179.0485839844
61,30.356600000000032,-97.74381000000021,514.0,2171.1240234375,1115957.748046875
62,30.356600000000032,-97.73881000000021,499.0,1693.4029541015625,845008.0740966797
63,30.356600000000032,-97.7338100000002,499.0,1693.4029541015625,845008.0740966797
64,30.351600000000033,-97.80881000000014,503.0,6.712588787078857,3376.4321599006653
65,30.351600000000033,-97.7488100000002,511.0,2171.1240234375,1109444.3759765625
66,30.351600000000033,-97.74381000000021,546.0,2171.1240234375,1185433.716796875
67,30.351600000000033,-97.71381000000021,506.0,2991.679931640625,1513790.0454101562
68,30.346600000000034,-97.74381000000021,485.0,1612.5849609375,782103.7060546875
69,30.346600000000034,-97.69881000000021,489.0,2732.340087890625,1336114.3029785156
70,30.34160000000003,-97.78881000000014,521.0,341.09930419921875,177712.73748779297
