field_1,lat,lng,time,population,popxtime
23,30.436600000000009,-97.818810000000127,542.000000000000000,2157.756103515625000,1169503.808105468750000
24,30.436600000000009,-97.748810000000205,617.000000000000000,3467.000000000000000,2139139.000000000000000
25,30.436600000000009,-97.743810000000209,628.000000000000000,3467.000000000000000,2177276.000000000000000
26,30.436600000000009,-97.738810000000214,524.000000000000000,1693.194946289062500,887234.151855468750000
27,30.436600000000009,-97.733810000000204,562.000000000000000,1693.194946289062500,951575.559814453125000
28,30.436600000000009,-97.728810000000209,650.000000000000000,1146.953979492187500,745520.086669921875000
29,30.436600000000009,-97.668810000000235,642.000000000000000,1466.301025390625000,941365.258300781250000
34,30.431600000000010,-97.843810000000076,511.000000000000000,389.497802734375000,199033.377197265625000
35,30.431600000000010,-97.828810000000075,532.000000000000000,1123.000976562500000,597436.519531250000000
37,30.431600000000010,-97.818810000000127,622.000000000000000,908.929504394531250,565354.151733398437500
38,30.431600000000010,-97.738810000000214,506.000000000000000,766.564514160156136,387881.644165039004292
39,30.431600000000010,-97.733810000000204,484.000000000000000,766.564514160156136,371017.224853515566792
40,30.431600000000010,-97.728810000000209,528.000000000000000,982.375915527343636,518694.483398437441792
41,30.431600000000010,-97.668810000000235,667.000000000000000,1077.514038085937727,718701.863403320428915
43,30.426600000000018,-97.858810000000076,487.000000000000000,244.762100219726562,119199.142807006835938
45,30.426600000000018,-97.838810000000095,502.000000000000000,1643.396972656250000,824985.280273437500000
55,30.421600000000019,-97.808810000000136,493.000000000000000,212.662002563476562,104842.367263793945312
56,30.416600000000020,-97.838810000000095,565.000000000000000,430.898498535156250,243457.651672363281250
62,30.416600000000020,-97.758810000000153,504.000000000000000,1875.333007812500000,945167.835937500000000
65,30.411600000000011,-97.713810000000208,531.000000000000000,1643.631958007812500,872768.569702148437500
66,30.411600000000011,-97.673810000000231,507.000000000000000,766.025817871093750,388375.089660644531250
67,30.406600000000022,-97.728810000000209,481.000000000000000,1583.610961914062500,761716.872680664062500
69,30.401600000000023,-97.738810000000214,516.000000000000000,1467.915039062500000,757444.160156250000000
70,30.401600000000023,-97.733810000000204,502.000000000000000,1467.915039062500000,736893.349609375000000
71,30.401600000000023,-97.723810000000213,538.000000000000000,408.626190185546875,219840.890319824218750
74,30.396600000000024,-97.803810000000126,777.000000000000000,387.325805664062500,300952.151000976562500
75,30.396600000000024,-97.798810000000131,857.000000000000000,196.169906616210909,168117.609970092744334
76,30.396600000000024,-97.773810000000154,487.000000000000000,929.975280761718750,452897.961730957031250
77,30.396600000000024,-97.723810000000213,495.000000000000000,303.791107177734375,150376.598052978515625
78,30.396600000000024,-97.718810000000204,515.000000000000000,303.791107177734375,156452.420196533203125
79,30.396600000000024,-97.673810000000231,611.000000000000000,1253.512939453125000,765896.406005859375000
83,30.391600000000025,-97.803810000000126,684.000000000000000,387.325805664062500,264930.851074218750000
84,30.391600000000025,-97.798810000000131,797.000000000000000,196.169906616210909,156347.415573120088084
87,30.391600000000025,-97.748810000000205,521.000000000000000,642.776916503906364,334886.773498535214458
88,30.391600000000025,-97.743810000000209,555.000000000000000,642.776916503906364,356741.188659668026958
89,30.391600000000025,-97.733810000000204,505.000000000000000,281.491394042968750,142153.153991699218750
90,30.391600000000025,-97.718810000000204,510.000000000000000,303.791107177734375,154933.464660644531250
117,30.361600000000035,-97.738810000000214,485.000000000000000,1391.675048828125000,674962.398681640625000
124,30.356600000000032,-97.743810000000209,514.000000000000000,2171.124023437500000,1115957.748046875000000
125,30.356600000000032,-97.738810000000214,497.000000000000000,1693.402954101562500,841621.268188476562500
126,30.356600000000032,-97.733810000000204,501.000000000000000,1693.402954101562500,848394.880004882812500
135,30.351600000000033,-97.808810000000136,497.000000000000000,6.712588787078857,3336.156627178192139
136,30.351600000000033,-97.748810000000205,535.000000000000000,2171.124023437500000,1161551.352539062500000
137,30.351600000000033,-97.743810000000209,571.000000000000000,2171.124023437500000,1239711.817382812500000
138,30.351600000000033,-97.713810000000208,508.000000000000000,2991.679931640625000,1519773.405273437500000
139,30.346600000000034,-97.923810000000017,1913.000000000000000,356.107604980468750,681233.848327636718750
144,30.346600000000034,-97.848810000000071,1642.000000000000000,52.221950531005859,85748.442771911621094
152,30.346600000000034,-97.748810000000205,485.000000000000000,1612.584960937500000,782103.706054687500000
153,30.346600000000034,-97.743810000000209,513.000000000000000,1612.584960937500000,827256.084960937500000
154,30.346600000000034,-97.698810000000208,490.000000000000000,2732.340087890625000,1338846.643066406250000
155,30.341600000000032,-97.928809999999999,1166.000000000000000,45.771770477294922,53369.884376525878906
162,30.341600000000032,-97.813810000000132,662.000000000000000,393.986907958984375,260819.333068847656250
164,30.341600000000032,-97.788810000000140,523.000000000000000,341.099304199218750,178394.936096191406250
171,30.336600000000040,-97.818810000000127,537.000000000000000,502.662689208984375,269929.864105224609375
176,30.331600000000037,-97.823810000000137,750.000000000000000,436.497314453125000,327372.985839843750000
178,30.326600000000038,-97.923810000000017,2122.000000000000000,497.594787597656250,1055896.139282226562500
179,30.326600000000038,-97.918810000000022,2129.000000000000000,497.594787597656250,1059379.302795410156250
180,30.326600000000038,-97.843810000000076,906.000000000000000,183.517807006836023,166267.133148193446686
181,30.326600000000038,-97.838810000000095,882.000000000000000,36.355300903320312,32065.375396728515625
182,30.326600000000038,-97.833810000000099,811.000000000000000,36.355300903320312,29484.149032592773438
183,30.326600000000038,-97.828810000000075,764.000000000000000,186.140701293945284,142211.495788574189646
184,30.326600000000038,-97.778810000000149,935.000000000000000,552.154113769531136,516264.096374511602335
185,30.326600000000038,-97.673810000000231,485.000000000000000,288.967712402343750,140149.340515136718750
186,30.326600000000038,-97.653810000000263,584.000000000000000,192.279098510742159,112290.993530273422948
187,30.326600000000038,-97.643810000000286,616.000000000000000,1118.270019531250000,688854.332031250000000
188,30.321600000000039,-97.713810000000208,485.000000000000000,750.657592773437500,364068.932495117187500
189,30.316600000000037,-97.808810000000136,507.000000000000000,596.739379882812500,302546.865600585937500
