field_1,lat,lng,time,population,popxtime
0,30.5116,-97.7538100000002,488,1370.93896484375,669018.21484375
1,30.5066,-97.7488100000002,492,1816.20104980469,893570.916503906
2,30.5016,-97.7888100000001,490,858.370727539062,420601.656494141
3,30.4966,-97.7988100000001,627,1526.59301757812,957173.822021484
4,30.4916,-97.7988100000001,489,1526.59301757812,746503.985595703
5,30.4916,-97.7938100000001,557,1526.59301757812,850312.310791016
6,30.4866,-97.8038100000001,548,114.50830078125,62750.548828125
7,30.4866,-97.7988100000001,507,147.075607299805,74567.332901001
8,30.4866,-97.7888100000001,543,358.808013916016,194832.751556396
9,30.4766,-97.8088100000001,500,1381.87805175781,690939.025878906
10,30.4766,-97.8038100000001,492,370.976989746094,182520.678955078
11,30.4716,-97.8088100000001,509,673.0166015625,342565.450195312
12,30.4666,-97.8088100000001,504,673.0166015625,339200.3671875
13,30.4466,-97.7038100000002,496,41.059139251709,20365.3330688477
14,30.4466,-97.6638100000002,643,1305.15600585938,839215.311767578
15,30.4416,-97.7538100000002,566,3067.38793945312,1736141.57373047
16,30.4416,-97.7488100000002,593,2269.65698242188,1345906.59057617
17,30.4416,-97.7438100000002,676,2269.65698242188,1534288.12011719
18,30.4416,-97.6688100000002,531,1774.09802246094,942046.049926758
19,30.4416,-97.6638100000002,537,1305.15600585938,700868.775146484
20,30.4366,-97.8338100000001,496,1873.53503417969,929273.376953125
21,30.4366,-97.8288100000001,577,1860.74597167969,1073650.42565918
22,30.4366,-97.8188100000001,538,2157.75610351562,1160872.78369141
23,30.4366,-97.7488100000002,613,3467,2125271
24,30.4366,-97.7438100000002,596,3467,2066332
25,30.4366,-97.7388100000002,523,1693.19494628906,885540.95690918
26,30.4366,-97.7338100000002,561,1693.19494628906,949882.364868164
27,30.4366,-97.7288100000002,647,1146.95397949219,742079.224731445
28,30.4366,-97.6688100000002,523,1466.30102539062,766875.436279297
29,30.4316,-97.8438100000001,507,389.497802734375,197475.385986328
30,30.4316,-97.8288100000001,529,1123.0009765625,594067.516601562
31,30.4316,-97.8188100000001,618,908.929504394531,561718.43371582
32,30.4316,-97.7388100000002,506,766.564514160156,387881.644165039
33,30.4316,-97.7338100000002,483,766.564514160156,370250.660339355
34,30.4316,-97.7288100000002,528,982.375915527344,518694.483398437
35,30.4316,-97.6688100000002,548,1077.51403808594,590477.692871094
36,30.4316,-97.6588100000003,513,452.110412597656,231932.641662598
37,30.4266,-97.8588100000001,485,244.762100219727,118709.618606567
38,30.4266,-97.8388100000001,501,1643.39697265625,823341.883300781
39,30.4266,-97.6688100000002,519,1077.51403808594,559229.785766602
40,30.4166,-97.8388100000001,562,430.898498535156,242164.956176758
41,30.4166,-97.7588100000002,504,1875.3330078125,945167.8359375
42,30.4116,-97.7138100000002,531,1643.63195800781,872768.569702148
43,30.4116,-97.6738100000002,506,766.025817871094,387609.063842773
44,30.4016,-97.7388100000002,510,1467.9150390625,748636.669921875
45,30.4016,-97.7338100000002,495,1467.9150390625,726617.944335938
46,30.4016,-97.7238100000002,531,408.626190185547,216980.506988525
47,30.3966,-97.8038100000001,775,387.325805664062,300177.499389648
48,30.3966,-97.7988100000001,863,196.169906616211,169294.62940979
49,30.3966,-97.7738100000002,486,929.975280761719,451967.986450195
50,30.3966,-97.7238100000002,491,303.791107177734,149161.433624268
51,30.3966,-97.7188100000002,512,303.791107177734,155541.046875
52,30.3966,-97.6738100000002,609,1253.51293945312,763389.380126953
53,30.3916,-97.8038100000001,682,387.325805664062,264156.199462891
54,30.3916,-97.7988100000001,797,196.169906616211,156347.41557312
55,30.3916,-97.7488100000002,521,642.776916503906,334886.773498535
56,30.3916,-97.7438100000002,548,642.776916503906,352241.750244141
57,30.3916,-97.7338100000002,504,281.491394042969,141871.662597656
58,30.3916,-97.7188100000002,507,303.791107177734,154022.091339111
59,30.3616,-97.7388100000002,483,1391.67504882812,672179.048583984
60,30.3566,-97.7438100000002,514,2171.1240234375,1115957.74804688
61,30.3566,-97.7388100000002,499,1693.40295410156,845008.07409668
62,30.3566,-97.7338100000002,499,1693.40295410156,845008.07409668
63,30.3516,-97.8088100000001,503,6.71258878707886,3376.43215990067
64,30.3516,-97.7488100000002,511,2171.1240234375,1109444.37597656
65,30.3516,-97.7438100000002,546,2171.1240234375,1185433.71679688
66,30.3516,-97.7138100000002,506,2991.67993164062,1513790.04541016
67,30.3466,-97.7938100000001,665,361.029205322266,240084.421539307
68,30.3466,-97.7438100000002,485,1612.5849609375,782103.706054688
69,30.3466,-97.6988100000002,489,2732.34008789062,1336114.30297852
70,30.3416,-97.8138100000001,665,393.986907958984,262001.293792725
71,30.3416,-97.7938100000001,660,361.029205322266,238279.275512695
72,30.3416,-97.7888100000001,521,341.099304199219,177712.737487793
73,30.3316,-97.8238100000001,754,436.497314453125,329118.975097656
74,30.3266,-97.8338100000001,816,36.3553009033203,29665.9255371094
75,30.3266,-97.8288100000001,767,186.140701293945,142769.917892456
76,30.3266,-97.6738100000002,483,288.967712402344,139571.405090332
77,30.3266,-97.6538100000003,599,192.279098510742,115175.180007935
78,30.3266,-97.6438100000003,616,1118.27001953125,688854.33203125
79,30.3166,-97.7788100000001,811,608.484191894531,493480.679626465
80,30.3166,-97.7088100000002,501,750.657592773438,376079.453979492
81,30.3116,-97.7788100000001,844,690.020629882812,582377.411621094
82,30.3116,-97.7588100000002,530,568.676818847656,301398.713989258
83,30.3116,-97.7088100000002,579,1686.68395996094,976590.012817383
84,30.3066,-97.6688100000002,489,1054.10900878906,515459.305297851
85,30.3016000000001,-97.7938100000001,615,452.720794677734,278423.288726807
86,30.3016000000001,-97.6638100000002,623,989.064270019531,616187.040222168
87,30.2966000000001,-97.7888100000001,505,343.386688232422,173410.277557373
88,30.2916000000001,-97.8288100000001,700,267.482604980469,187237.823486328
89,30.2916000000001,-97.7938100000001,502,269.073791503906,135075.043334961
90,30.2866000000001,-97.8288100000001,670,348.787414550781,233687.567749023
91,30.2816000000001,-97.8238100000001,665,423.266693115234,281472.350921631
92,30.2816000000001,-97.7188100000002,498,1914.42700195312,953384.646972656
93,30.2766000000001,-97.8238100000001,626,423.266693115234,264964.949890137
94,30.2766000000001,-97.7088100000002,508,2043.59997558594,1038148.78759766
