,lng,lat
0,-97.74881000000018,30.5166
1,-97.75381000000017,30.5116
2,-97.74881000000018,30.5116
3,-97.76381000000016,30.506600000000002
4,-97.75881000000017,30.506600000000002
5,-97.75381000000017,30.506600000000002
6,-97.74881000000018,30.506600000000002
7,-97.79381000000014,30.501600000000003
8,-97.78881000000014,30.501600000000003
9,-97.78381000000014,30.501600000000003
10,-97.77881000000015,30.501600000000003
11,-97.77381000000015,30.501600000000003
12,-97.76881000000016,30.501600000000003
13,-97.76381000000016,30.501600000000003
14,-97.75881000000017,30.501600000000003
15,-97.79881000000013,30.496600000000004
16,-97.79381000000014,30.496600000000004
17,-97.78881000000014,30.496600000000004
18,-97.78381000000014,30.496600000000004
19,-97.77881000000015,30.496600000000004
20,-97.77381000000015,30.496600000000004
21,-97.76881000000016,30.496600000000004
22,-97.76381000000016,30.496600000000004
23,-97.75881000000017,30.496600000000004
24,-97.79881000000013,30.491600000000005
25,-97.79381000000014,30.491600000000005
26,-97.78881000000014,30.491600000000005
27,-97.78381000000014,30.491600000000005
28,-97.77881000000015,30.491600000000005
29,-97.77381000000015,30.491600000000005
30,-97.76881000000016,30.491600000000005
31,-97.76381000000016,30.491600000000005
32,-97.75881000000017,30.491600000000005
33,-97.75381000000017,30.491600000000005
34,-97.80381000000013,30.486600000000006
35,-97.79881000000013,30.486600000000006
36,-97.79381000000014,30.486600000000006
37,-97.78881000000014,30.486600000000006
38,-97.78381000000014,30.486600000000006
39,-97.77881000000015,30.486600000000006
40,-97.77381000000015,30.486600000000006
41,-97.76881000000016,30.486600000000006
42,-97.76381000000016,30.486600000000006
43,-97.75881000000017,30.486600000000006
44,-97.75381000000017,30.486600000000006
45,-97.80381000000013,30.481600000000007
46,-97.79881000000013,30.481600000000007
47,-97.79381000000014,30.481600000000007
48,-97.78881000000014,30.481600000000007
49,-97.78381000000014,30.481600000000007
50,-97.77881000000015,30.481600000000007
51,-97.77381000000015,30.481600000000007
52,-97.76881000000016,30.481600000000007
53,-97.76381000000016,30.481600000000007
54,-97.80881000000012,30.47660000000001
55,-97.80381000000013,30.47660000000001
56,-97.79881000000013,30.47660000000001
57,-97.79381000000014,30.47660000000001
58,-97.78881000000014,30.47660000000001
59,-97.78381000000014,30.47660000000001
60,-97.77881000000015,30.47660000000001
61,-97.77381000000015,30.47660000000001
62,-97.76881000000016,30.47660000000001
63,-97.76381000000016,30.47660000000001
64,-97.80881000000012,30.47160000000001
65,-97.80381000000013,30.47160000000001
66,-97.79881000000013,30.47160000000001
67,-97.79381000000014,30.47160000000001
68,-97.78881000000014,30.47160000000001
69,-97.78381000000014,30.47160000000001
70,-97.80881000000012,30.46660000000001
71,-97.80381000000013,30.46660000000001
72,-97.79881000000013,30.46660000000001
73,-97.79381000000014,30.46660000000001
74,-97.78881000000014,30.46660000000001
75,-97.78381000000014,30.46660000000001
76,-97.81381000000012,30.46160000000001
77,-97.80881000000012,30.46160000000001
78,-97.80381000000013,30.46160000000001
79,-97.79881000000013,30.46160000000001
80,-97.79381000000014,30.46160000000001
81,-97.78881000000014,30.46160000000001
82,-97.78381000000014,30.46160000000001
83,-97.74881000000018,30.46160000000001
84,-97.82381000000011,30.456600000000012
85,-97.81881000000011,30.456600000000012
86,-97.81381000000012,30.456600000000012
87,-97.80881000000012,30.456600000000012
88,-97.80381000000013,30.456600000000012
89,-97.79881000000013,30.456600000000012
90,-97.79381000000014,30.456600000000012
91,-97.74881000000018,30.456600000000012
92,-97.81881000000011,30.451600000000013
93,-97.81381000000012,30.451600000000013
94,-97.80881000000012,30.451600000000013
95,-97.80381000000013,30.451600000000013
96,-97.79881000000013,30.451600000000013
97,-97.79381000000014,30.451600000000013
98,-97.78881000000014,30.451600000000013
99,-97.78381000000014,30.451600000000013
100,-97.82381000000011,30.446600000000014
101,-97.81881000000011,30.446600000000014
102,-97.81381000000012,30.446600000000014
103,-97.80881000000012,30.446600000000014
104,-97.80381000000013,30.446600000000014
105,-97.79881000000013,30.446600000000014
106,-97.79381000000014,30.446600000000014
107,-97.78881000000014,30.446600000000014
108,-97.78381000000014,30.446600000000014
109,-97.77881000000015,30.446600000000014
110,-97.70881000000021,30.446600000000014
111,-97.70381000000022,30.446600000000014
112,-97.69881000000022,30.446600000000014
113,-97.66381000000025,30.446600000000014
114,-97.8288100000001,30.441600000000015
115,-97.82381000000011,30.441600000000015
116,-97.81881000000011,30.441600000000015
117,-97.81381000000012,30.441600000000015
118,-97.80881000000012,30.441600000000015
119,-97.80381000000013,30.441600000000015
120,-97.79881000000013,30.441600000000015
121,-97.79381000000014,30.441600000000015
122,-97.78881000000014,30.441600000000015
123,-97.78381000000014,30.441600000000015
124,-97.77881000000015,30.441600000000015
125,-97.77381000000015,30.441600000000015
126,-97.76881000000016,30.441600000000015
127,-97.76381000000016,30.441600000000015
128,-97.75381000000017,30.441600000000015
129,-97.74881000000018,30.441600000000015
130,-97.74381000000018,30.441600000000015
131,-97.69881000000022,30.441600000000015
132,-97.66881000000025,30.441600000000015
133,-97.66381000000025,30.441600000000015
134,-97.84881000000009,30.436600000000016
135,-97.8388100000001,30.436600000000016
136,-97.8338100000001,30.436600000000016
137,-97.8288100000001,30.436600000000016
138,-97.82381000000011,30.436600000000016
139,-97.81881000000011,30.436600000000016
140,-97.81381000000012,30.436600000000016
141,-97.80881000000012,30.436600000000016
142,-97.80381000000013,30.436600000000016
143,-97.79881000000013,30.436600000000016
144,-97.79381000000014,30.436600000000016
145,-97.78881000000014,30.436600000000016
146,-97.78381000000014,30.436600000000016
